k_1: 20, k_2: 10, k_3: 40, e: 0.00100, score: 0.01049610 
k_1: 20, k_2: 10, k_3: 40, e: 0.00500, score: 0.01050725 
k_1: 20, k_2: 10, k_3: 40, e: 0.01000, score: 0.01185619 
k_1: 20, k_2: 10, k_3: 50, e: 0.00050, score: 0.00998885 
k_1: 20, k_2: 10, k_3: 50, e: 0.00100, score: 0.00971014 
k_1: 20, k_2: 10, k_3: 50, e: 0.00500, score: 0.39182274 
k_1: 20, k_2: 10, k_3: 50, e: 0.01000, score: 0.39921405 
k_1: 20, k_2: 10, k_3: 75, e: 0.00050, score: 0.01039019 
k_1: 20, k_2: 10, k_3: 75, e: 0.00100, score: 0.00987179 
k_1: 20, k_2: 10, k_3: 75, e: 0.00500, score: 0.01054627 
k_1: 20, k_2: 10, k_3: 75, e: 0.01000, score: 0.01375697 
k_1: 20, k_2: 10, k_3: 100, e: 0.00050, score: 0.01045708 
k_1: 20, k_2: 10, k_3: 100, e: 0.00100, score: 0.00981048 
k_1: 20, k_2: 10, k_3: 100, e: 0.00500, score: 0.01008919 
k_1: 20, k_2: 10, k_3: 100, e: 0.01000, score: 0.01262542 
k_1: 20, k_2: 20, k_3: 10, e: 0.00050, score: 0.59758640 
k_1: 20, k_2: 20, k_3: 10, e: 0.00100, score: 0.59212375 
k_1: 20, k_2: 20, k_3: 10, e: 0.00500, score: 0.58896878 
k_1: 20, k_2: 20, k_3: 10, e: 0.01000, score: 0.61817168 
k_1: 20, k_2: 20, k_3: 20, e: 0.00050, score: 0.30120401 
k_1: 20, k_2: 20, k_3: 20, e: 0.00100, score: 0.01119287 
k_1: 20, k_2: 20, k_3: 20, e: 0.00500, score: 0.01240803 
k_1: 20, k_2: 20, k_3: 20, e: 0.01000, score: 0.01752508 
k_1: 20, k_2: 20, k_3: 30, e: 0.00050, score: 0.00996098 
k_1: 20, k_2: 20, k_3: 30, e: 0.00100, score: 0.01001115 
k_1: 20, k_2: 20, k_3: 30, e: 0.00500, score: 0.40390190 
k_1: 20, k_2: 20, k_3: 30, e: 0.01000, score: 0.39395764 
k_1: 20, k_2: 20, k_3: 40, e: 0.00050, score: 0.01078038 
k_1: 20, k_2: 20, k_3: 40, e: 0.00100, score: 0.01065217 
k_1: 20, k_2: 20, k_3: 40, e: 0.00500, score: 0.01064103 
k_1: 20, k_2: 20, k_3: 40, e: 0.01000, score: 0.01187848 
k_1: 20, k_2: 20, k_3: 50, e: 0.00050, score: 0.38894649 
k_1: 20, k_2: 20, k_3: 50, e: 0.00100, score: 0.00966555 
k_1: 20, k_2: 20, k_3: 50, e: 0.00500, score: 0.39098105 
k_1: 20, k_2: 20, k_3: 50, e: 0.01000, score: 0.39554069 
k_1: 20, k_2: 20, k_3: 75, e: 0.00050, score: 0.01034560 
k_1: 20, k_2: 20, k_3: 75, e: 0.00100, score: 0.00977146 
