k_1: 20, k_2: 30, k_3: 75, e: 0.00100, score: 0.03745819 
k_1: 20, k_2: 30, k_3: 75, e: 0.00500, score: 0.04849498 
k_1: 20, k_2: 30, k_3: 75, e: 0.01000, score: 0.08841137 
k_1: 20, k_2: 30, k_3: 100, e: 0.00050, score: 0.04026756 
k_1: 20, k_2: 30, k_3: 100, e: 0.00100, score: 0.03858417 
k_1: 20, k_2: 30, k_3: 100, e: 0.00500, score: 0.03753623 
k_1: 20, k_2: 30, k_3: 100, e: 0.01000, score: 0.04334448 
k_1: 20, k_2: 40, k_3: 10, e: 0.00050, score: 0.09015050 
k_1: 20, k_2: 40, k_3: 10, e: 0.00100, score: 0.10659978 
k_1: 20, k_2: 40, k_3: 10, e: 0.00500, score: 0.08309922 
k_1: 20, k_2: 40, k_3: 10, e: 0.01000, score: 0.08503902 
k_1: 20, k_2: 40, k_3: 20, e: 0.00050, score: 0.04434225 
k_1: 20, k_2: 40, k_3: 20, e: 0.00100, score: 0.04350056 
k_1: 20, k_2: 40, k_3: 20, e: 0.00500, score: 0.04778149 
k_1: 20, k_2: 40, k_3: 20, e: 0.01000, score: 0.05703456 
k_1: 20, k_2: 40, k_3: 30, e: 0.00050, score: 0.03884615 
k_1: 20, k_2: 40, k_3: 30, e: 0.00100, score: 0.03765329 
k_1: 20, k_2: 40, k_3: 30, e: 0.00500, score: 0.04264771 
k_1: 20, k_2: 40, k_3: 30, e: 0.01000, score: 0.05768673 
k_1: 20, k_2: 40, k_3: 40, e: 0.00050, score: 0.04173913 
k_1: 20, k_2: 40, k_3: 40, e: 0.00100, score: 0.04227982 
k_1: 20, k_2: 40, k_3: 40, e: 0.00500, score: 0.04630992 
k_1: 20, k_2: 40, k_3: 40, e: 0.01000, score: 0.06858974 
k_1: 20, k_2: 40, k_3: 50, e: 0.00050, score: 0.03746377 
k_1: 20, k_2: 40, k_3: 50, e: 0.00100, score: 0.03678372 
k_1: 20, k_2: 40, k_3: 50, e: 0.00500, score: 0.04672241 
k_1: 20, k_2: 40, k_3: 50, e: 0.01000, score: 0.08003902 
k_1: 20, k_2: 40, k_3: 75, e: 0.00050, score: 0.03915273 
k_1: 20, k_2: 40, k_3: 75, e: 0.00100, score: 0.03754738 
k_1: 20, k_2: 40, k_3: 75, e: 0.00500, score: 0.04644370 
k_1: 20, k_2: 40, k_3: 75, e: 0.01000, score: 0.08884058 
k_1: 20, k_2: 40, k_3: 100, e: 0.00050, score: 0.04049610 
k_1: 20, k_2: 40, k_3: 100, e: 0.00100, score: 0.03845596 
k_1: 20, k_2: 40, k_3: 100, e: 0.00500, score: 0.03761984 
k_1: 20, k_2: 40, k_3: 100, e: 0.01000, score: 0.04301561 
k_1: 20, k_2: 50, k_3: 10, e: 0.00050, score: 0.05423634 
k_1: 20, k_2: 50, k_3: 10, e: 0.00100, score: 0.08122074 
k_1: 20, k_2: 50, k_3: 10, e: 0.00500, score: 0.06030100 
k_1: 20, k_2: 50, k_3: 10, e: 0.01000, score: 0.06985507 
k_1: 20, k_2: 50, k_3: 20, e: 0.00050, score: 0.04741360 
k_1: 20, k_2: 50, k_3: 20, e: 0.00100, score: 0.04616499 
k_1: 20, k_2: 50, k_3: 20, e: 0.00500, score: 0.04654404 
k_1: 20, k_2: 50, k_3: 20, e: 0.01000, score: 0.06289855 
k_1: 20, k_2: 50, k_3: 30, e: 0.00050, score: 0.03887402 
k_1: 20, k_2: 50, k_3: 30, e: 0.00100, score: 0.03759755 
k_1: 20, k_2: 50, k_3: 30, e: 0.00500, score: 0.04118172 
k_1: 20, k_2: 50, k_3: 30, e: 0.01000, score: 0.05782609 
k_1: 20, k_2: 50, k_3: 40, e: 0.00050, score: 0.04168896 
k_1: 20, k_2: 50, k_3: 40, e: 0.00100, score: 0.04068562 
k_1: 20, k_2: 50, k_3: 40, e: 0.00500, score: 0.04566332 
k_1: 20, k_2: 50, k_3: 40, e: 0.01000, score: 0.06937570 
k_1: 20, k_2: 50, k_3: 50, e: 0.00050, score: 0.03785396 
k_1: 20, k_2: 50, k_3: 50, e: 0.00100, score: 0.03636566 
k_1: 20, k_2: 50, k_3: 50, e: 0.00500, score: 0.04715719 
k_1: 20, k_2: 50, k_3: 50, e: 0.01000, score: 0.08030100 
k_1: 20, k_2: 50, k_3: 75, e: 0.00050, score: 0.04086399 
k_1: 20, k_2: 50, k_3: 75, e: 0.00100, score: 0.03788740 
k_1: 20, k_2: 50, k_3: 75, e: 0.00500, score: 0.04801003 
k_1: 20, k_2: 50, k_3: 75, e: 0.01000, score: 0.08876254 
k_1: 20, k_2: 50, k_3: 100, e: 0.00050, score: 0.04233556 
k_1: 20, k_2: 50, k_3: 100, e: 0.00100, score: 0.03924192 
k_1: 20, k_2: 50, k_3: 100, e: 0.00500, score: 0.03746934 
k_1: 20, k_2: 50, k_3: 100, e: 0.01000, score: 0.04305463 
k_1: 20, k_2: 75, k_3: 10, e: 0.00050, score: 0.08074136 
k_1: 20, k_2: 75, k_3: 10, e: 0.00100, score: 0.05487179 
k_1: 20, k_2: 75, k_3: 10, e: 0.00500, score: 0.07379041 
k_1: 20, k_2: 75, k_3: 10, e: 0.01000, score: 0.07086957 
k_1: 20, k_2: 75, k_3: 20, e: 0.00050, score: 0.04658305 
k_1: 20, k_2: 75, k_3: 20, e: 0.00100, score: 0.04553512 
k_1: 20, k_2: 75, k_3: 20, e: 0.00500, score: 0.04646600 
k_1: 20, k_2: 75, k_3: 20, e: 0.01000, score: 0.06446488 
k_1: 20, k_2: 75, k_3: 30, e: 0.00050, score: 0.03845039 
k_1: 20, k_2: 75, k_3: 30, e: 0.00100, score: 0.03837793 
k_1: 20, k_2: 75, k_3: 30, e: 0.00500, score: 0.04216834 
k_1: 20, k_2: 75, k_3: 30, e: 0.01000, score: 0.05824415 
k_1: 20, k_2: 75, k_3: 40, e: 0.00050, score: 0.04156076 
k_1: 20, k_2: 75, k_3: 40, e: 0.00100, score: 0.04205128 
k_1: 20, k_2: 75, k_3: 40, e: 0.00500, score: 0.04583612 
k_1: 20, k_2: 75, k_3: 40, e: 0.01000, score: 0.06923077 
k_1: 20, k_2: 75, k_3: 50, e: 0.00050, score: 0.03915273 
k_1: 20, k_2: 75, k_3: 50, e: 0.00100, score: 0.03595875 
k_1: 20, k_2: 75, k_3: 50, e: 0.00500, score: 0.04657748 
k_1: 20, k_2: 75, k_3: 50, e: 0.01000, score: 0.07891304 
k_1: 20, k_2: 75, k_3: 75, e: 0.00050, score: 0.03792085 
k_1: 20, k_2: 75, k_3: 75, e: 0.00100, score: 0.03735229 
